country,city,district,min_booking_duration,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,first_pic_category,was_published,clicks_count
1,155,491,1,0,0,0.0,,,,,,,0,0
2,1086,,1,3,3,800.0,48.0,2618.0,3,17,0.0,KITCHEN,1,76
1,155,916,1,0,0,0.0,,,,,,,0,0
1,1048,1013,1,0,0,0.0,,,,,,,0,0
1,771,782,3,6,3,0.0,50.0,4300.0,6,11,60.0,ROOM_BEDROOM,1,2
1,1269,1178,1,0,0,0.0,,,,,,,0,0
1,752,763,1,0,0,0.0,,,,,,,0,0
1,469,487,1,0,0,0.0,,,,,,,0,0
1,155,1190,3,2,3,3200.0,100.0,3200.0,2,67,150.0,LIVING_ROOM,1,85
1,155,28,1,0,0,0.0,,,,,,,0,0
1,834,830,3,4,3,1800.0,80.0,1800.0,4,37,140.0,LIVING_DINING_ROOM,1,30
0,1530,,1,2,3,1500.0,86.0,3550.0,4,16,370.0,LIVING_ROOM,1,5
1,595,46,3,1,4,6375.0,110.0,3600.0,2,25,250.0,LIVING_ROOM,1,20
1,206,230,1,4,3,2000.0,130.0,2300.0,5,12,200.0,ROOM_BEDROOM,1,27
1,720,734,1,2,2,0.0,60.0,2400.0,4,19,150.0,UNCATEGORIZED,0,0
1,595,169,3,0,0,0.0,,,,,,,0,0
2,1086,,1,2,3,5000.0,73.0,5000.0,5,18,150.0,LIVING_DINING_ROOM,1,31
1,155,916,1,0,0,0.0,,,,,,,0,0
1,63,72,1,2,2,500.0,52.0,2000.0,4,31,80.0,ROOM_BEDROOM,1,42
2,301,,1,0,0,0.0,,,,,,,0,0
1,1356,1250,1,4,3,500.0,65.0,2400.0,4,15,80.0,ROOM_BEDROOM,1,60
2,870,,1,0,0,0.0,,,,,,,0,0
1,968,940,3,1,2,7500.0,60.0,2500.0,2,18,100.0,UNCATEGORIZED,0,0
1,155,838,1,0,0,0.0,,,,,,,0,0
1,1560,1400,1,0,0,0.0,,,,,,,0,0
2,1086,,1,3,4,800.0,101.0,9366.0,6,16,80.0,UNCATEGORIZED,1,6
1,77,86,1,0,0,0.0,,,,,,,0,0
1,183,208,3,2,5,3000.0,140.0,1800.0,3,5,150.0,LIVING_ROOM,1,1
2,1086,,1,1,1,0.0,20.0,1444.0,2,8,0.0,UNCATEGORIZED,1,92
1,968,940,3,0,0,0.0,,,,,,,0,0
1,893,873,8,1,2,1500.0,69.0,1200.0,2,15,200.0,ROOM_BEDROOM,1,161
1,724,739,1,3,1,0.0,35.0,2200.0,3,14,40.0,UNCATEGORIZED,1,19
1,224,247,1,3,3,500.0,65.0,1900.0,6,48,200.0,ROOM_BEDROOM,1,1
1,771,782,3,2,1,2800.0,35.0,1395.0,2,15,195.0,KITCHEN,1,150
1,968,940,3,1,1,2500.0,27.0,1650.0,1,18,100.0,ROOM_BEDROOM,1,42
1,359,380,3,2,3,2000.0,72.0,1875.0,2,17,250.0,UNCATEGORIZED,1,46
1,771,782,3,1,2,2700.0,74.0,1350.0,2,13,0.0,LIVING_DINING_ROOM,1,165
1,1129,1075,6,4,4,4500.0,90.0,1700.0,6,38,50.0,LIVING_DINING_ROOM,1,206
1,155,1190,3,1,2,1500.0,60.0,3120.0,2,17,250.0,LIVING_DINING_ROOM,1,30
1,595,611,3,1,3,2000.0,58.0,1500.0,2,6,150.0,UNCATEGORIZED,1,82
1,595,611,3,2,3,3250.0,68.0,2225.0,2,18,225.0,DINING_ROOM,1,63
1,804,806,1,2,3,2850.0,75.0,2850.0,4,15,200.0,UNCATEGORIZED,1,23
1,374,357,1,0,0,0.0,,,,,,,0,0
1,495,517,1,0,0,0.0,,,,,,,0,0
1,1067,1034,1,1,1,0.0,42.0,950.0,1,4,0.0,BALCONY,0,0
1,117,127,1,0,0,0.0,,,,,,,0,0
1,834,830,1,2,2,500.0,42.0,1590.0,2,26,150.0,ROOM_BEDROOM,1,10
2,1086,,2,2,2,1500.0,48.0,2723.0,3,19,65.0,ROOM_BEDROOM,1,0
1,450,469,6,2,2,1825.0,50.0,1825.0,2,26,50.0,HALL_CORRIDOR,1,102
2,870,,1,3,3,1260.0,37.0,1326.0,5,9,80.0,ROOM_BEDROOM,1,20
2,1086,,1,3,3,5000.0,125.0,15540.0,6,24,300.0,ROOM_BEDROOM,1,4
1,155,620,2,1,1,3000.0,50.0,1490.0,2,24,90.0,LIVING_ROOM,1,442
1,155,1049,1,0,0,0.0,,,,,,,0,0
1,485,507,1,1,2,2400.0,34.0,1200.0,2,7,200.0,UNCATEGORIZED,1,120
1,155,1383,3,1,1,3100.0,40.0,1550.0,1,15,100.0,ROOM_BEDROOM,1,265
1,603,619,1,0,0,0.0,,,,,,,0,0
1,155,488,6,1,1,2500.0,36.0,1450.0,2,21,119.0,TWO_D_FLOOR_PLAN,1,80
1,155,491,2,1,3,5000.0,120.0,2900.0,4,5,50.0,LIVING_DINING_ROOM,1,87
0,1530,,1,5,3,0.0,80.0,2600.0,5,10,150.0,LIVING_DINING_ROOM,1,13
2,1086,,1,1,1,1500.0,20.0,1895.0,2,10,110.0,KITCHEN,1,11
1,595,397,3,0,0,0.0,,,,,,,0,0
2,1086,,1,0,0,0.0,,,,,,,0,0
1,346,367,3,2,2,0.0,52.0,850.0,1,8,0.0,ROOM_BEDROOM,0,0
2,1086,,1,1,2,250.0,42.0,12288.0,2,15,50.0,LIVING_DINING_ROOM,1,2
1,359,380,1,2,2,3000.0,78.0,2700.0,2,18,200.0,LIVING_DINING_ROOM,1,121
1,424,446,1,0,0,0.0,,,,,,,0,0
1,595,610,3,0,0,0.0,,,,,,,0,0
1,155,857,3,1,1,1600.0,41.0,1600.0,2,22,0.0,ROOM_BEDROOM,1,165
1,1028,995,1,0,0,0.0,,,,,,,0,0
1,155,445,3,2,2,2000.0,85.0,2999.0,2,12,100.0,UNCATEGORIZED,1,15
1,450,469,1,1,1,0.0,28.0,2670.0,2,6,0.0,ROOM_BEDROOM,1,49
1,1543,1387,1,0,0,0.0,,,,,,,0,0
1,155,840,7,5,6,6000.0,180.0,4500.0,5,40,200.0,KITCHEN,1,33
1,155,774,1,0,0,0.0,,,,,,,0,0
1,155,488,2,4,5,5100.0,276.0,5100.0,5,57,150.0,UNCATEGORIZED,1,6
1,623,638,1,1,1,0.0,9.0,800.0,1,13,40.0,UNCATEGORIZED,1,6
2,1086,,3,1,2,2700.0,30.0,1421.0,2,19,0.0,LIVING_ROOM,1,9
1,595,1333,3,0,0,0.0,,,,,,,0,0
1,155,314,6,2,2,3500.0,95.0,2300.0,2,4,150.0,KITCHEN,1,32
1,1100,1060,1,0,0,0.0,,,,,,,0,0
1,54,65,1,1,1,1600.0,32.0,1600.0,1,18,80.0,LIVING_ROOM,1,9
1,968,940,3,0,0,0.0,,,,,,,0,0
1,968,940,3,3,4,2650.0,100.0,2650.0,5,11,60.0,ROOM_BEDROOM,1,23
1,0,0,3,0,0,0.0,,,,,,,0,0
2,1086,248,9,3,3,2000.0,70.0,5400.0,5,20,250.0,ROOM_BEDROOM,1,145
1,155,916,1,0,0,0.0,,,,,,,0,0
1,771,782,3,0,0,0.0,,,,,,,0,0
1,234,267,1,0,0,0.0,,,,,,,0,0
1,155,774,3,3,4,4495.0,150.0,4495.0,6,26,250.0,LIVING_DINING_ROOM,1,80
1,434,460,1,1,1,500.0,22.0,1100.0,2,11,75.0,ROOM_BEDROOM,1,9
1,791,375,1,0,0,0.0,,,,,,,0,0
2,1152,,1,1,1,0.0,23.0,1612.0,2,16,0.0,UNCATEGORIZED,1,2
0,1530,,1,3,3,700.0,74.0,2590.0,6,7,180.0,UNCATEGORIZED,1,8
1,1320,1216,1,4,5,1000.0,100.0,2200.0,6,11,50.0,LIVING_ROOM,1,25
1,623,638,1,1,1,0.0,16.0,1200.0,1,18,40.0,UNCATEGORIZED,1,4
1,63,72,1,1,3,1650.0,75.0,2072.0,2,5,150.0,ROOM_BEDROOM,1,44
1,595,46,1,1,1,250.0,40.0,1390.0,2,15,40.0,UNCATEGORIZED,0,0
2,1086,,1,2,2,1890.0,37.0,1890.0,3,30,150.0,DINING_ROOM,1,132
1,155,491,1,0,0,0.0,,,,,,,0,0
1,155,1068,1,0,0,0.0,,,,,,,0,0
1,893,873,1,2,2,1500.0,75.0,1790.0,2,19,120.0,ROOM_BEDROOM,1,183
2,1086,,1,1,1,2000.0,27.0,1889.0,2,11,110.0,LIVING_DINING_ROOM,1,259
1,266,307,1,0,0,0.0,,,,,,,0,0
1,651,380,1,4,3,1800.0,60.0,1800.0,3,9,150.0,ROOM_BEDROOM,1,23
2,60,,1,2,2,1800.0,48.0,1300.0,2,10,80.0,LIVING_DINING_ROOM,1,8
1,595,397,3,1,1,1390.0,26.0,1390.0,1,8,190.0,ROOM_BEDROOM,1,472
1,687,707,1,0,0,0.0,,,,,,,0,0
1,1039,1004,1,0,0,0.0,,,,,,,0,0
2,1384,,1,1,1,445.0,28.0,612.0,2,9,50.0,UNCATEGORIZED,1,0
1,665,682,1,2,2,3000.0,79.0,1300.0,2,4,150.0,LIVING_ROOM,0,0
1,1005,972,1,0,0,0.0,,,,,,,0,0
1,187,213,1,0,0,0.0,,,,,,,0,0
1,155,1049,2,1,2,4500.0,45.0,2250.0,2,37,150.0,LIVING_ROOM,1,332
1,1330,1227,1,0,0,0.0,,,,,,,0,0
1,1328,1223,1,0,0,0.0,,,,,,,0,0
1,1356,1250,1,0,0,0.0,,,,,,,0,0
0,1530,,1,3,2,0.0,50.0,2100.0,4,10,100.0,LIVING_DINING_ROOM,1,0
1,771,782,3,0,0,0.0,,,,,,,0,0
1,1356,1250,12,2,2,4200.0,54.0,1835.0,2,14,180.0,ROOM_BEDROOM,1,14
1,771,782,3,8,4,0.0,100.0,5700.0,8,11,70.0,ROOM_BEDROOM,1,2
1,155,1190,1,1,1,0.0,21.0,1900.0,2,19,0.0,UNCATEGORIZED,1,231
1,1465,1315,1,3,3,2500.0,65.0,2720.0,4,14,65.0,LIVING_ROOM,1,8
1,1433,1301,1,0,0,0.0,,,,,,,0,0
0,1530,,1,2,3,1500.0,79.0,2560.0,4,15,370.0,LIVING_DINING_ROOM,1,17
1,1239,1149,3,3,4,4000.0,90.0,1990.0,3,31,200.0,LIVING_ROOM,1,17
1,1411,1286,1,0,0,0.0,,,,,,,0,0
1,461,481,1,0,0,0.0,,,,,,,0,0
1,155,486,2,1,2,3780.0,68.0,1890.0,2,22,0.0,LIVING_ROOM,1,257
1,1200,1134,1,0,0,0.0,,,,,,,0,0
1,970,942,6,1,1,1800.0,30.0,1720.0,2,10,0.0,UNCATEGORIZED,1,94
1,1411,1286,3,1,2,2500.0,50.0,1500.0,3,20,150.0,LIVING_ROOM,1,63
2,1086,,1,1,1,1375.0,37.0,1882.0,2,13,70.0,LIVING_ROOM,1,10
1,155,530,10,1,2,970.0,68.0,970.0,2,6,0.0,ROOM_BEDROOM,0,0
2,1086,,1,0,0,0.0,,,,,,,0,0
1,199,224,6,1,1,1630.0,22.0,1450.0,2,6,80.0,UNCATEGORIZED,1,100
1,834,830,3,2,2,1250.0,45.0,1250.0,2,8,120.0,LIVING_DINING_ROOM,1,118
2,1212,,6,1,2,3840.0,60.0,1920.0,2,10,115.0,ROOM_BEDROOM,1,3
1,155,916,1,1,1,2000.0,48.0,1790.0,2,14,100.0,UNCATEGORIZED,1,127
1,155,916,7,1,2,3000.0,74.0,2200.0,2,19,100.0,UNCATEGORIZED,1,305
1,209,235,1,2,2,0.0,60.0,2095.0,3,20,0.0,UNCATEGORIZED,1,41
1,771,782,3,0,0,0.0,,,,,,,0,0
1,615,631,1,0,0,0.0,,,,,,,0,0
2,46,,6,1,2,2300.0,45.0,1150.0,2,5,100.0,ROOM_BEDROOM,1,4
1,155,1383,3,2,2,2500.0,64.0,1250.0,1,7,150.0,ROOM_BEDROOM,0,0
2,870,,1,0,0,0.0,,,,,,,0,0
1,343,363,1,6,3,0.0,78.0,4300.0,6,16,60.0,ROOM_BEDROOM,1,1
1,155,918,7,1,1,2300.0,56.0,1450.0,2,19,100.0,UNCATEGORIZED,1,42
1,155,1049,3,1,1,2513.0,45.0,2513.0,2,22,150.0,UNCATEGORIZED,1,107
1,290,318,1,2,2,0.0,50.0,1150.0,3,17,0.0,LIVING_ROOM,1,21
1,450,469,1,2,3,3000.0,90.0,2100.0,2,9,80.0,LIVING_ROOM,1,38
1,155,774,1,1,2,1500.0,40.0,1880.0,2,9,80.0,LIVING_DINING_ROOM,1,201
1,155,1049,1,0,0,0.0,,,,,,,0,0
1,155,774,1,0,0,0.0,,,,,,,0,0
1,595,46,3,0,0,0.0,,,,,,,0,0
1,968,940,9,2,2,8000.0,130.0,3500.0,3,5,200.0,EMPTY_ROOM,0,0
1,662,679,2,2,6,5700.0,132.0,2850.0,4,22,200.0,OUTDOOR_HOUSE,0,0
1,595,46,3,0,0,0.0,,,,,,,0,0
1,1399,1277,1,0,0,0.0,,,,,,,0,0
1,155,488,3,2,2,1800.0,65.0,1800.0,3,6,100.0,LIVING_DINING_ROOM,1,32
1,155,774,3,3,6,11550.0,147.0,3950.0,5,37,150.0,ROOM_BEDROOM,1,172
2,849,,1,1,2,579.0,13.0,579.0,1,10,0.0,ROOM_BEDROOM,1,0
2,870,,1,2,1,500.0,31.0,1895.0,4,19,40.0,LIVING_DINING_ROOM,1,31
2,1086,,3,1,2,2800.0,38.0,1474.0,2,16,0.0,UNCATEGORIZED,1,122
1,155,1068,1,1,1,2000.0,55.0,1750.0,1,23,0.0,LIVING_DINING_ROOM,1,258
1,155,491,1,1,2,3500.0,44.0,2090.0,2,25,150.0,LIVING_ROOM,1,135
1,856,847,1,0,0,0.0,,,,,,,0,0
2,1086,,1,2,3,4800.0,80.0,6556.0,4,18,250.0,UNCATEGORIZED,1,16
2,1086,,1,0,0,0.0,,,,,,,0,0
1,595,610,3,0,0,0.0,,,,,,,0,0
2,998,,1,1,2,1500.0,37.0,1500.0,2,8,0.0,ROOM_BEDROOM,1,194
1,263,304,1,2,3,1500.0,110.0,900.0,3,13,50.0,LIVING_ROOM,1,18
1,615,631,1,2,3,3000.0,100.0,2800.0,2,7,150.0,ROOM_BEDROOM,1,15
1,346,367,1,1,1,1800.0,32.0,895.0,2,11,100.0,ROOM_BEDROOM,1,59
2,1086,,1,1,1,950.0,13.0,950.0,1,8,50.0,ROOM_BEDROOM,1,547
1,155,620,1,0,0,0.0,,,,,,,0,0
1,317,335,1,0,0,0.0,,,,,,,0,0
1,1153,1096,1,0,0,0.0,,,,,,,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,1105,770,1,0,0,0.0,,,,,,,0,0
1,155,916,1,2,2,600.0,54.0,1250.0,2,10,50.0,LIVING_ROOM,1,174
1,450,469,1,0,0,0.0,,,,,,,0,0
1,595,1333,3,0,0,0.0,,,,,,,0,0
2,301,,6,1,2,2880.0,51.0,1690.0,4,3,150.0,LIVING_ROOM,1,59
