country,city,district,min_booking_duration,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,first_pic_category,was_published,clicks_count
2,1086,,1,0,0,0.0,,,,,,,0,0
1,595,611,3,1,3,5000.0,117.0,2490.0,2,14,150.0,LIVING_ROOM,1,539
1,155,916,1,0,0,0.0,,,,,,,0,0
1,885,869,2,2,4,1600.0,100.0,1950.0,3,13,0.0,LIVING_ROOM,1,76
0,1530,,1,2,3,1500.0,98.0,3650.0,4,27,350.0,LIVING_DINING_ROOM,1,4
1,707,720,1,0,0,0.0,,,,,,,0,0
1,968,940,3,1,1,1000.0,19.0,825.0,1,8,0.0,KITCHEN,1,701
1,155,916,1,3,2,1800.0,67.0,1800.0,4,1,50.0,LIVING_ROOM,0,0
1,155,916,1,0,0,0.0,,,,,,,0,0
1,63,72,1,0,0,0.0,,,,,,,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,771,782,3,5,2,0.0,58.0,3600.0,5,11,50.0,ROOM_BEDROOM,1,2
1,155,530,6,2,2,2500.0,73.0,1500.0,2,8,80.0,DINING_ROOM,1,614
1,359,380,3,3,4,1500.0,125.0,2300.0,6,18,65.0,LIVING_DINING_ROOM,1,49
1,711,723,1,0,0,0.0,,,,,,,0,0
1,155,1383,6,1,1,3000.0,40.0,1500.0,2,26,150.0,BATHROOM,1,207
1,155,965,5,2,2,3000.0,40.0,1650.0,2,14,170.0,KITCHEN,1,34
1,155,573,2,6,4,2000.0,110.0,4400.0,6,68,300.0,LIVING_DINING_ROOM,1,39
1,867,855,1,0,0,0.0,,,,,,,0,0
1,1113,1067,1,2,2,1000.0,45.0,850.0,2,6,50.0,ROOM_BEDROOM,1,989
1,155,774,4,1,1,1500.0,31.0,1270.0,2,23,0.0,UNCATEGORIZED,1,222
1,359,380,3,1,1,1650.0,24.0,895.0,2,13,100.0,UNCATEGORIZED,1,127
1,893,873,1,2,1,1000.0,20.0,1500.0,2,6,100.0,KITCHEN,1,290
1,517,537,1,0,0,0.0,,,,,,,0,0
1,155,1068,3,2,2,2327.0,60.0,2327.0,3,22,150.0,UNCATEGORIZED,1,38
1,155,965,2,2,3,2000.0,100.0,2250.0,4,1,150.0,UNCATEGORIZED,0,0
1,595,397,3,3,5,7000.0,157.0,3500.0,6,51,300.0,OUTDOOR_HOUSE,1,90
1,1080,1046,1,2,1,0.0,17.0,2674.0,3,14,0.0,OUTDOOR_HOUSE,1,1
2,1086,,1,2,3,7000.0,64.0,5333.0,4,18,135.0,UNCATEGORIZED,1,23
1,155,774,1,0,0,0.0,,,,,,,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,867,855,1,2,2,3600.0,79.0,1800.0,4,7,200.0,ROOM_BEDROOM,0,0
1,359,380,1,0,0,0.0,,,,,,,0,0
1,526,547,1,0,0,0.0,,,,,,,0,0
1,155,314,1,0,0,0.0,,,,,,,0,0
1,155,916,6,1,3,4950.0,100.0,2950.0,3,10,100.0,LIVING_DINING_ROOM,0,0
2,1588,,1,0,0,0.0,,,,,,,0,0
1,155,916,1,0,0,0.0,,,,,,,0,0
1,155,965,1,3,3,2000.0,90.0,1900.0,4,15,150.0,UNCATEGORIZED,1,45
1,155,1068,1,1,1,3000.0,51.0,1960.0,2,7,150.0,LIVING_DINING_ROOM,1,261
1,1356,1250,2,2,4,5000.0,116.0,2750.0,3,17,100.0,UNCATEGORIZED,1,99
2,1400,,1,1,1,300.0,30.0,2105.0,2,18,100.0,UNCATEGORIZED,0,0
1,359,380,6,2,2,3000.0,64.0,1000.0,2,13,150.0,ROOM_BEDROOM,1,52
1,155,774,1,0,0,0.0,,,,,,,0,0
1,155,789,2,2,2,1895.0,78.0,1895.0,2,16,75.0,UNCATEGORIZED,1,97
1,450,469,1,1,1,700.0,15.0,700.0,1,5,50.0,UNCATEGORIZED,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,592,607,2,2,1,250.0,35.0,1550.0,2,1,80.0,BATHROOM,1,112
1,803,805,1,0,0,0.0,,,,,,,0,0
1,837,832,1,1,1,1500.0,40.0,1199.0,2,25,180.0,ROOM_BEDROOM,1,116
1,477,499,1,0,0,0.0,,,,,,,0,0
1,397,415,1,5,3,3500.0,182.0,3950.0,6,11,150.0,ROOM_BEDROOM,1,3
1,108,118,1,0,0,0.0,,,,,,,0,0
1,155,838,4,4,5,6400.0,160.0,3200.0,5,14,200.0,UNCATEGORIZED,0,0
1,118,128,3,2,3,2000.0,120.0,1850.0,3,33,150.0,UNCATEGORIZED,1,3
0,1530,,1,1,1,700.0,47.0,1490.0,2,4,180.0,ROOM_BEDROOM,1,9
1,155,486,3,2,2,2000.0,50.0,1650.0,2,27,150.0,LIVING_ROOM,1,465
1,1209,1141,9,2,3,850.0,100.0,1500.0,4,14,0.0,KITCHEN,1,11
1,1146,1092,5,1,2,1950.0,43.0,650.0,2,4,125.0,KITCHEN,0,0
0,1530,,5,1,2,3900.0,59.0,1300.0,2,9,150.0,LIVING_ROOM,1,43
1,155,988,2,1,1,1500.0,45.0,1390.0,3,15,120.0,LIVING_ROOM,1,74
1,968,940,3,0,0,0.0,,,,,,,0,0
1,155,488,1,2,2,1200.0,60.0,550.0,3,14,0.0,UNCATEGORIZED,0,0
1,1122,1070,1,4,4,3000.0,110.0,2400.0,6,40,180.0,OUTDOOR_HOUSE,1,148
1,155,491,1,0,0,0.0,,,,,,,0,0
1,359,380,4,2,2,1200.0,55.0,1200.0,2,13,100.0,ROOM_BEDROOM,1,37
1,155,491,1,2,2,3500.0,130.0,4500.0,2,6,100.0,LIVING_ROOM,1,34
1,155,774,3,1,2,2253.0,51.0,2253.0,2,23,150.0,LIVING_DINING_ROOM,1,33
1,155,1068,3,1,1,2600.0,32.0,1529.0,2,3,239.0,UNCATEGORIZED,1,623
1,1583,1419,1,2,2,950.0,49.0,950.0,3,18,60.0,ROOM_BEDROOM,1,0
1,771,782,3,1,1,2800.0,70.0,2400.0,2,25,90.0,UNCATEGORIZED,1,290
1,431,455,6,2,3,2000.0,50.0,1400.0,2,3,100.0,LIVING_ROOM,0,0
1,155,530,2,1,1,500.0,18.0,330.0,1,2,0.0,ROOM_BEDROOM,0,0
2,1029,,1,0,0,0.0,,,,,,,0,0
1,595,46,1,4,3,2000.0,120.0,2500.0,4,21,150.0,UNCATEGORIZED,1,0
1,155,1098,1,0,0,0.0,,,,,,,0,0
1,588,604,1,1,3,1400.0,80.0,1400.0,2,22,80.0,OUTDOOR_HOUSE,1,7
1,155,1068,1,0,0,0.0,,,,,,,0,0
1,595,46,1,0,0,0.0,,,,,,,0,0
1,155,491,1,1,2,1950.0,73.0,1950.0,2,13,100.0,LIVING_DINING_ROOM,1,156
2,1086,,2,7,7,26000.0,200.0,14000.0,12,17,300.0,HALL_CORRIDOR,1,28
2,1086,,1,1,1,2000.0,20.0,2222.0,1,12,110.0,UNCATEGORIZED,1,61
1,155,916,1,0,0,0.0,,,,,,,0,0
1,1437,1304,1,5,2,0.0,65.0,3600.0,5,9,50.0,ROOM_BEDROOM,1,5
2,870,,1,2,2,1740.0,25.0,1832.0,4,20,40.0,UNCATEGORIZED,1,10
0,1530,,1,3,4,1500.0,131.0,4020.0,6,16,440.0,LIVING_ROOM,1,5
1,155,147,1,0,0,0.0,,,,,,,0,0
1,155,774,1,2,2,3400.0,40.0,3400.0,4,3,200.0,ROOM_BEDROOM,1,20
1,155,918,2,1,1,2000.0,46.0,1600.0,2,26,150.0,ROOM_BEDROOM,1,121
1,155,1263,1,1,1,2385.0,35.0,1590.0,2,23,239.0,ROOM_BEDROOM,1,178
1,155,314,1,0,0,0.0,,,,,,,0,0
1,155,965,1,0,0,0.0,,,,,,,0,0
1,880,865,1,3,3,3000.0,80.0,3000.0,4,31,80.0,ROOM_BEDROOM,1,4
1,155,1068,3,2,2,2000.0,69.0,1800.0,2,11,100.0,ROOM_BEDROOM,0,0
1,352,373,1,0,0,0.0,,,,,,,0,0
1,1458,1312,1,1,2,3600.0,70.0,3600.0,2,3,150.0,LIVING_DINING_ROOM,1,6
1,1100,1060,1,0,0,0.0,,,,,,,0,0
1,603,619,1,2,2,1290.0,55.0,1290.0,2,18,150.0,ROOM_BEDROOM,1,8
1,1039,1004,3,1,2,2000.0,70.0,1550.0,2,23,50.0,ROOM_BEDROOM,1,152
1,1055,1020,3,5,2,2500.0,54.0,1350.0,5,7,150.0,OUTDOOR_BUILDING,1,51
1,199,224,6,1,3,1700.0,37.0,1100.0,1,7,100.0,UNCATEGORIZED,1,177
1,557,574,2,1,5,6000.0,173.0,3500.0,2,4,300.0,KITCHEN,1,25
1,771,782,3,3,3,5850.0,200.0,3900.0,8,56,200.0,LIVING_ROOM,1,11
0,1530,,1,1,1,700.0,43.0,1290.0,2,6,180.0,ROOM_BEDROOM,1,28
1,968,940,3,1,1,1050.0,40.0,1050.0,2,4,100.0,ROOM_BEDROOM,1,148
1,155,774,1,0,0,0.0,,,,,,,0,0
1,155,314,1,0,0,0.0,,,,,,,0,0
1,0,0,6,1,2,1500.0,50.0,880.0,2,4,150.0,ROOM_BEDROOM,0,0
1,771,782,3,4,2,0.0,186.0,4950.0,4,15,250.0,LIVING_ROOM,1,21
2,1086,,1,3,3,4000.0,85.0,5278.0,6,12,190.0,UNCATEGORIZED,1,22
1,152,172,1,0,0,0.0,,,,,,,0,0
1,359,380,1,0,0,0.0,,,,,,,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,771,782,3,1,1,1960.0,25.0,1050.0,1,4,100.0,ROOM_BEDROOM,1,132
1,155,1049,3,1,2,4400.0,65.0,2200.0,2,16,100.0,LIVING_DINING_ROOM,1,101
1,219,243,1,1,2,1000.0,45.0,1790.0,2,13,100.0,DINING_ROOM,1,7
1,359,380,1,0,0,0.0,,,,,,,0,0
1,155,840,1,0,0,0.0,,,,,,,0,0
1,155,916,1,1,1,1000.0,19.0,838.0,1,6,0.0,ROOM_BEDROOM,1,62
1,968,940,6,1,3,4000.0,80.0,3150.0,2,10,150.0,ROOM_BEDROOM,1,98
1,155,1049,3,1,1,994.0,84.0,994.0,1,13,85.0,HALL_CORRIDOR,0,0
1,450,469,1,0,0,0.0,,,,,,,0,0
2,1086,,1,0,0,0.0,,,,,,,0,0
1,597,613,1,1,2,0.0,50.0,2700.0,2,8,50.0,LIVING_DINING_ROOM,1,0
1,335,352,1,0,0,0.0,,,,,,,0,0
1,450,469,3,1,1,1000.0,20.0,690.0,1,8,0.0,ROOM_BEDROOM,1,39
1,155,486,1,1,3,1800.0,96.0,1800.0,2,20,100.0,UNCATEGORIZED,1,26
1,286,316,1,1,1,500.0,30.0,750.0,2,50,50.0,UNCATEGORIZED,1,16
1,155,1190,1,0,0,0.0,,,,,,,0,0
2,1086,,1,2,2,4000.0,37.0,3158.0,4,10,110.0,LIVING_DINING_ROOM,1,4
1,595,621,3,1,1,680.0,12.0,340.0,1,4,20.0,LIVING_DINING_ROOM,1,181
1,646,663,1,0,0,0.0,,,,,,,0,0
1,155,774,3,1,1,500.0,20.0,1150.0,1,13,150.0,UNCATEGORIZED,1,443
1,359,380,1,0,0,0.0,,,,,,,0,0
1,155,314,5,3,3,2000.0,76.0,2300.0,3,14,200.0,UNCATEGORIZED,1,336
2,1086,,9,2,3,8400.0,85.0,8400.0,4,18,200.0,LIVING_ROOM,1,3
1,155,486,6,4,4,2980.0,130.0,2980.0,4,27,300.0,LIVING_DINING_ROOM,1,199
1,1356,1250,1,3,2,2800.0,50.0,1400.0,2,16,60.0,UNCATEGORIZED,1,117
1,631,648,1,0,0,0.0,,,,,,,0,0
2,1086,,1,1,1,1400.0,22.0,1565.0,1,10,45.0,UNCATEGORIZED,0,0
1,1456,1310,2,2,3,1800.0,80.0,900.0,2,22,70.0,LIVING_ROOM,1,42
1,155,965,1,3,2,2000.0,72.0,2590.0,4,26,100.0,ROOM_BEDROOM,1,186
1,199,224,6,2,3,2400.0,83.0,1400.0,2,10,150.0,LIVING_DINING_ROOM,1,48
1,943,920,3,1,3,2000.0,98.0,2900.0,1,9,300.0,LIVING_DINING_ROOM,0,0
1,1105,770,1,10,6,6000.0,140.0,6000.0,10,4,300.0,OUTDOOR_HOUSE,1,1
1,155,774,2,1,2,1800.0,49.0,1800.0,2,17,150.0,LIVING_ROOM,1,459
1,834,830,1,0,0,0.0,,,,,,,0,0
1,771,782,3,2,1,0.0,35.0,1800.0,2,9,40.0,ROOM_BEDROOM,1,0
1,416,435,3,3,4,3999.0,120.0,2499.0,6,9,199.0,LIVING_ROOM,1,16
2,210,,1,3,4,4000.0,71.0,4500.0,4,13,190.0,ROOM_BEDROOM,1,9
1,155,876,6,3,3,2500.0,80.0,1900.0,3,11,150.0,ROOM_BEDROOM,1,55
1,771,782,1,0,0,0.0,,,,,,,0,0
1,249,288,1,1,2,1360.0,45.0,1180.0,2,21,100.0,DINING_ROOM,1,344
1,155,916,1,1,3,1000.0,75.0,1500.0,2,6,150.0,UNCATEGORIZED,0,0
1,250,289,18,1,3,2800.0,58.0,1400.0,1,7,250.0,LIVING_ROOM,1,47
2,1086,,1,3,3,800.0,69.0,6225.0,6,14,70.0,UNCATEGORIZED,1,1
1,597,613,1,3,3,0.0,90.0,4800.0,6,14,50.0,LIVING_ROOM,1,1
1,595,397,1,1,1,3600.0,95.0,2300.0,2,11,150.0,ROOM_BEDROOM,1,16
1,155,491,1,0,0,0.0,,,,,,,0,0
1,116,126,1,0,0,0.0,,,,,,,0,0
1,155,774,6,3,1,800.0,69.0,900.0,3,3,0.0,BATHROOM,0,0
1,971,943,1,0,0,0.0,,,,,,,0,0
1,771,782,3,7,2,0.0,70.0,5000.0,7,16,50.0,UNCATEGORIZED,1,2
1,771,782,3,3,3,2000.0,59.0,1895.0,6,13,50.0,LIVING_ROOM,1,220
1,155,491,2,2,2,2000.0,58.0,2390.0,2,34,100.0,LIVING_ROOM,1,85
1,450,469,1,0,0,0.0,,,,,,,0,0
1,1113,1067,1,1,2,1500.0,90.0,2500.0,2,6,150.0,ROOM_BEDROOM,1,105
1,882,866,1,0,0,0.0,,,,,,,0,0
2,932,,1,0,0,0.0,25.0,1550.0,2,12,0.0,UNCATEGORIZED,1,2
1,155,1068,7,1,2,3500.0,90.0,2000.0,2,9,150.0,LIVING_DINING_ROOM,1,34
2,1086,,1,2,2,2500.0,32.0,3553.0,4,15,70.0,LIVING_DINING_ROOM,1,6
1,771,782,3,0,0,0.0,,,,,,,0,0
1,155,1049,6,1,2,3300.0,49.0,1650.0,2,20,150.0,BATHROOM,1,779
1,155,7,1,2,1,1050.0,35.0,1050.0,2,17,50.0,ROOM_BEDROOM,0,0
1,1101,1061,1,0,0,0.0,,,,,,,0,0
1,155,530,6,2,4,3780.0,77.0,1950.0,3,13,150.0,LIVING_ROOM,1,190
1,155,1068,1,0,0,0.0,,,,,,,0,0
1,155,965,1,0,0,0.0,,,,,,,0,0
1,223,1175,1,1,3,2500.0,75.0,1900.0,2,11,100.0,ROOM_BEDROOM,1,46
1,646,663,1,4,2,0.0,70.0,2900.0,4,1,95.0,UNCATEGORIZED,1,6
2,292,,1,0,0,0.0,,,,,,,0,0
1,1113,1067,1,0,0,0.0,,,,,,,0,0
1,155,1234,1,0,0,0.0,,,,,,,0,0
1,771,782,3,2,1,2000.0,43.0,1700.0,2,12,125.0,LIVING_ROOM,1,95
1,223,916,3,2,3,2000.0,97.0,2490.0,2,12,300.0,LIVING_ROOM,1,11
1,595,397,3,0,0,0.0,,,,,,,0,0
1,595,610,3,0,0,0.0,,,,,,,0,0
1,155,41,6,1,3,4000.0,94.0,2550.0,2,15,250.0,LIVING_DINING_ROOM,1,44
1,0,0,3,1,1,1200.0,35.0,750.0,2,9,60.0,BALCONY,1,130
1,364,385,1,0,0,0.0,,,,,,,0,0
1,422,439,1,0,0,0.0,,,,,,,0,0
1,595,610,3,0,0,0.0,,,,,,,0,0
0,1530,,1,1,1,600.0,43.98,1247.0,2,17,150.0,ROOM_BEDROOM,1,20
1,155,314,1,1,1,2500.0,31.0,1350.0,2,11,80.0,LIVING_DINING_ROOM,1,454
1,723,738,1,3,3,1250.0,88.0,2750.0,4,16,125.0,ROOM_BEDROOM,1,4
1,968,940,3,0,0,0.0,,,,,,,0,0
2,1588,,1,4,5,600.0,101.0,3600.0,8,24,74.0,UNCATEGORIZED,1,2
1,352,373,1,0,0,0.0,,,,,,,0,0
1,595,397,3,0,0,0.0,,,,,,,0,0
1,416,435,1,2,1,1250.0,37.0,1437.0,3,16,50.0,LIVING_DINING_ROOM,1,4
1,968,940,3,1,1,0.0,35.0,3270.0,2,7,0.0,LIVING_ROOM,1,11
1,595,46,3,0,0,0.0,,,,,,,0,0
1,155,254,3,1,1,1600.0,57.0,1600.0,2,21,200.0,ROOM_BEDROOM,1,19
1,359,380,1,0,0,0.0,,,,,,,0,0
1,219,243,5,3,3,2000.0,85.0,2000.0,4,17,100.0,UNCATEGORIZED,1,15
1,155,491,1,0,0,0.0,,,,,,,0,0
1,1067,1034,1,0,0,0.0,,,,,,,0,0
1,597,613,1,1,1,0.0,40.0,2700.0,2,7,50.0,LIVING_DINING_ROOM,1,0
1,155,314,1,5,5,10800.0,165.0,5900.0,6,5,120.0,EMPTY_ROOM,0,0
1,1356,1250,1,0,0,0.0,,,,,,,0,0
1,286,316,1,0,0,0.0,,,,,,,0,0
1,1156,1100,1,0,0,0.0,,,,,,,0,0
1,155,789,1,0,0,0.0,,,,,,,0,0
1,155,491,3,1,2,1500.0,61.0,2330.0,2,16,250.0,LIVING_ROOM,1,8
1,155,573,3,1,2,1500.0,40.0,2770.0,2,14,250.0,UNCATEGORIZED,1,18
2,696,,1,1,1,0.0,25.0,3720.0,2,9,0.0,ROOM_BEDROOM,1,11
1,595,610,3,0,0,0.0,,,,,,,0,0
1,571,587,1,3,2,0.0,64.0,2200.0,3,56,70.0,UNCATEGORIZED,1,8
1,834,830,1,0,0,0.0,,,,,,,0,0
1,688,708,1,0,0,0.0,,,,,,,0,0
2,1086,,1,3,3,0.0,48.0,3333.0,4,10,0.0,ROOM_BEDROOM,1,10
1,885,869,1,1,2,500.0,58.0,1250.0,2,6,0.0,UNCATEGORIZED,1,26
1,155,916,3,1,2,2200.0,75.0,2200.0,1,28,250.0,LIVING_ROOM,1,26
1,1356,1250,4,2,3,2800.0,59.0,1590.0,3,28,99.0,LIVING_DINING_ROOM,1,18
0,1530,,1,0,0,0.0,,,,,,,0,0
1,225,248,1,0,0,0.0,,,,,,,0,0
1,1187,1123,1,0,0,0.0,,,,,,,0,0
1,595,611,6,1,1,2180.0,30.0,1090.0,1,27,150.0,UNCATEGORIZED,1,27
1,155,774,3,3,4,4578.0,117.0,4578.0,6,25,200.0,ROOM_BEDROOM,1,17
1,219,243,1,4,3,3000.0,96.0,2300.0,4,17,80.0,LIVING_ROOM,1,15
1,771,782,3,1,2,1000.0,45.0,1400.0,2,11,100.0,LIVING_DINING_ROOM,1,27
1,711,723,6,1,1,500.0,21.0,549.0,1,7,100.0,UNCATEGORIZED,1,133
1,155,774,6,1,2,500.0,47.0,1500.0,2,13,100.0,ROOM_BEDROOM,1,104
1,1356,1250,1,1,2,2000.0,44.0,2200.0,2,5,100.0,LIVING_ROOM,1,43
1,566,584,1,0,0,0.0,,,,,,,0,0
1,1021,985,1,0,0,0.0,,,,,,,0,0
1,155,491,1,0,0,0.0,,,,,,,0,0
1,968,940,3,0,0,0.0,,,,,,,0,0
1,155,491,1,0,0,0.0,,,,,,,0,0
1,155,314,1,0,0,0.0,,,,,,,0,0
1,1356,1250,1,0,0,0.0,,,,,,,0,0
1,424,446,1,0,0,0.0,,,,,,,0,0
2,1086,,1,0,0,0.0,,,,,,,0,0
1,155,490,2,2,4,1500.0,65.0,1690.0,3,3,200.0,OUTDOOR_BUILDING,1,55
1,450,469,1,0,0,0.0,,,,,,,0,0
2,1086,,1,2,2,8240.0,40.0,4578.0,4,7,135.0,ROOM_BEDROOM,1,22
1,82,91,1,6,3,0.0,70.0,4300.0,6,10,100.0,UNCATEGORIZED,1,1
1,1473,1321,1,8,3,0.0,90.0,5700.0,8,13,110.0,ROOM_BEDROOM,1,0
1,155,965,3,2,1,2400.0,38.0,1595.0,2,24,239.0,UNCATEGORIZED,1,696
1,939,917,1,5,3,2800.0,120.0,2800.0,7,24,180.0,UNCATEGORIZED,1,1
1,1356,1250,1,0,0,0.0,,,,,,,0,0
1,139,150,1,0,0,0.0,,,,,,,0,0
1,155,1381,3,3,3,4000.0,93.0,2480.0,4,11,350.0,ROOM_BEDROOM,1,80
1,155,1190,1,2,3,2550.0,85.0,2550.0,2,14,200.0,LIVING_DINING_ROOM,1,0
1,155,491,6,2,1,1550.0,48.0,1550.0,2,14,100.0,UNCATEGORIZED,1,211
2,1391,,1,0,0,0.0,,,,,,,0,0
1,155,470,1,7,3,550.0,25.0,550.0,7,11,0.0,ROOM_BEDROOM,0,0
1,155,916,2,1,2,1000.0,45.0,1650.0,1,8,100.0,LIVING_DINING_ROOM,1,130
1,346,367,1,0,0,0.0,,,,,,,0,0
1,178,203,1,0,0,0.0,,,,,,,0,0
1,359,380,1,0,0,0.0,,,,,,,0,0
1,155,918,7,2,1,2000.0,35.0,1390.0,3,19,150.0,ROOM_BEDROOM,1,83
2,1086,,1,1,1,2400.0,15.0,1333.0,2,13,110.0,UNCATEGORIZED,1,148
1,155,1068,1,2,2,200.0,42.0,1990.0,4,11,150.0,LIVING_DINING_ROOM,1,465
1,416,435,3,1,2,1300.0,50.0,1390.0,1,39,90.0,LIVING_DINING_ROOM,1,57
2,210,,1,1,1,1500.0,23.0,2389.0,2,11,110.0,LIVING_ROOM,1,34
1,473,495,1,0,0,0.0,,,,,,,0,0
1,1356,1250,1,2,2,2500.0,49.0,1490.0,4,29,175.0,UNCATEGORIZED,1,391
1,794,797,1,1,4,200.0,100.0,1546.0,2,11,50.0,UNCATEGORIZED,1,22
1,155,492,2,2,3,2000.0,74.0,2070.0,4,11,70.0,DINING_ROOM,1,291
1,199,224,6,0,0,0.0,,,,,,,0,0
1,749,761,1,3,1,0.0,28.0,1800.0,3,8,134.0,UNCATEGORIZED,1,4
2,1086,,12,2,3,4600.0,58.0,2300.0,2,9,150.0,UNCATEGORIZED,1,14
1,416,435,3,2,3,5000.0,125.0,2750.0,2,15,300.0,KITCHEN,1,49
1,450,469,1,0,0,0.0,,,,,,,0,0
1,225,248,1,1,1,500.0,40.0,1650.0,2,17,150.0,ROOM_BEDROOM,1,28
1,155,789,1,0,0,0.0,,,,,,,0,0
1,223,577,3,4,2,2700.0,45.0,1750.0,4,14,150.0,ROOM_BEDROOM,1,103
1,313,332,1,0,1,550.0,14.0,550.0,1,12,150.0,ROOM_BEDROOM,1,277
1,680,701,1,0,0,0.0,,,,,,,0,0
1,1376,1262,1,0,0,0.0,,,,,,,0,0
2,441,,1,3,4,1000.0,100.0,1875.0,6,24,120.0,KITCHEN,1,26
1,595,46,3,3,2,100.0,90.0,170.0,4,18,30.0,ROOM_BEDROOM,0,0
1,1305,1206,1,0,0,0.0,,,,,,,0,0
1,490,513,1,0,0,0.0,,,,,,,0,0
0,1530,,1,1,1,900.0,72.0,1900.0,2,9,90.0,UNCATEGORIZED,1,2
1,155,965,1,0,0,0.0,,,,,,,0,0
2,1086,,1,2,2,3878.0,46.0,3878.0,3,22,150.0,LIVING_DINING_ROOM,1,73
1,155,315,6,2,2,3500.0,80.0,1580.0,2,12,75.0,UNCATEGORIZED,1,272
1,155,491,3,1,2,3600.0,60.0,1800.0,2,9,200.0,ROOM_BEDROOM,1,199
1,874,860,1,0,0,0.0,,,,,,,0,0
1,315,334,1,0,0,0.0,,,,,,,0,0
1,1356,1250,1,0,0,0.0,,,,,,,0,0
1,730,745,24,3,3,0.0,102.0,2200.0,4,34,2200.0,LIVING_ROOM,1,7
1,968,940,6,1,2,4500.0,56.0,2450.0,2,31,150.0,LIVING_DINING_ROOM,1,56
1,718,732,1,2,2,1000.0,85.0,1650.0,4,10,60.0,EMPTY_ROOM,1,122
1,450,469,1,1,2,3600.0,60.0,1800.0,2,23,100.0,LIVING_ROOM,1,201
1,1480,1328,6,1,2,1000.0,56.0,700.0,1,12,150.0,LIVING_DINING_ROOM,1,88
1,595,611,3,1,1,0.0,31.0,2000.0,2,12,0.0,ROOM_BEDROOM,1,25
1,834,830,1,0,0,0.0,,,,,,,0,0
1,985,953,1,2,2,0.0,46.0,1500.0,3,23,50.0,UNCATEGORIZED,0,0
1,155,1049,3,1,1,1750.0,35.0,1590.0,2,12,150.0,ROOM_BEDROOM,1,314
0,1530,,1,2,3,1500.0,64.0,3200.0,4,16,370.0,LIVING_ROOM,1,0
1,155,916,1,0,0,0.0,,,,,,,0,0
1,155,328,3,1,2,1500.0,60.0,2450.0,4,15,200.0,ROOM_BEDROOM,1,157
1,968,940,1,1,1,0.0,28.0,2350.0,2,13,0.0,UNCATEGORIZED,1,209
1,1561,1401,3,1,2,1500.0,47.0,1350.0,2,11,65.0,ROOM_BEDROOM,1,30
1,720,734,1,0,0,0.0,,,,,,,0,0
1,968,940,4,1,3,1000.0,65.0,1600.0,2,11,150.0,ROOM_BEDROOM,0,0
1,351,372,1,2,1,0.0,41.0,1390.0,2,20,0.0,UNCATEGORIZED,1,72
1,771,782,3,3,1,500.0,37.0,1200.0,4,10,0.0,LIVING_DINING_ROOM,1,166
1,155,774,1,0,0,0.0,,,,,,,0,0
1,615,631,1,2,2,2000.0,80.0,1600.0,2,29,150.0,ROOM_BEDROOM,1,19
0,1530,,1,1,2,1500.0,45.0,1910.0,2,13,280.0,LIVING_DINING_ROOM,1,65
1,1177,1117,1,1,1,700.0,30.0,450.0,1,10,50.0,UNCATEGORIZED,0,0
1,718,732,1,0,0,0.0,,,,,,,0,0
1,118,128,1,0,0,0.0,,,,,,,0,0
1,1039,1004,1,0,0,0.0,,,,,,,0,0
1,155,1234,3,2,2,2200.0,54.0,1700.0,2,11,100.0,LIVING_DINING_ROOM,1,113
1,359,380,6,1,2,1200.0,121.0,3900.0,2,38,100.0,LIVING_DINING_ROOM,1,25
1,752,763,1,1,1,1500.0,28.0,1100.0,2,14,90.0,LIVING_ROOM,1,73
1,1583,1419,1,6,3,0.0,65.0,4300.0,6,16,100.0,ROOM_BEDROOM,1,0
1,155,491,2,2,1,300.0,42.0,850.0,2,6,50.0,LIVING_DINING_ROOM,1,180
1,155,1356,1,0,0,0.0,,,,,,,0,0
1,155,815,1,0,0,0.0,,,,,,,0,0
1,79,88,1,1,1,0.0,40.0,1300.0,2,20,50.0,UNCATEGORIZED,1,11
1,1193,1128,3,4,3,0.0,67.0,1500.0,4,9,0.0,ROOM_BEDROOM,1,2
1,155,1098,1,4,2,1300.0,66.0,1300.0,2,7,150.0,ROOM_BEDROOM,1,2
1,968,940,3,1,2,500.0,52.0,1700.0,2,18,150.0,ROOM_BEDROOM,1,327
1,155,573,1,0,0,0.0,,,,,,,0,0
1,163,184,1,0,0,0.0,,,,,,,0,0
1,155,1049,3,1,2,2700.0,61.0,1960.0,1,11,150.0,KITCHEN,1,68
1,155,491,1,0,0,0.0,,,,,,,0,0
1,752,763,1,0,0,0.0,,,,,,,0,0
1,155,916,5,2,3,3500.0,116.0,2990.0,4,33,250.0,LIVING_ROOM,1,15
2,1402,,1,2,3,300.0,65.0,3368.0,4,27,220.0,UNCATEGORIZED,1,0
1,1350,1245,1,2,2,950.0,90.0,950.0,2,20,0.0,LIVING_DINING_ROOM,1,431
1,155,916,12,1,2,1700.0,45.0,1400.0,2,30,150.0,UNCATEGORIZED,1,296
1,893,873,1,2,3,1500.0,84.0,1450.0,3,9,100.0,LIVING_ROOM,1,27
1,1315,1212,1,0,0,0.0,,,,,,,0,0
